"comments","target"
Very lucid explanation. Thanks a lot.,p
"On your Switch Statement, how can I promt user to input a number between 0-6, and cout the corresponding day?",q
Loved your little reference to the office when teaching object functions,p
"Exactly what I was looking for. A perfect refresher course on basic C++
Thank you kind sir.",p
"I watched all the series of this man C, C++ and Python he teaches crisp and to the point concepts",s
I found out that you can link ||(or) and &&(AND) commands together using more than one set of parentheses.,s
"By 2:27:13 I was able to actually come up with my own method of creating this.


 
   cout << ""Guess: "" << endl;
   while (secret != guess){
   cin >> guess;
   guesses++;
 
   if (guesses == guesslimit && guess != secret) {
   cout << ""You lost."";
   return 0;}
 
   }
 
 
   if (guess == secret){
        cout << ""You won!"";
 
   }
   return 0;}




It was really exciting to be able to actually make my own solution to a problem. This is one of the best youtube tutorials out there.",p
"2:43:04 I don't get why the second time we go through this loop, result will be equal to basenum",q
"no cap this guy is the best he litreally taught me the whole basic in 4hours ur great 
i learnt tis in 8th i forgot now i remember everything",p
"2:06:06 
Use this code:

#include <iostream>
using namespace std;

 string day[7] = {""sun"",""Monday"",""Tues"",""W"", ""Th"",""Fr"",""sat""};
 
 
int main() 
{
   cout << day[0];
 
}",o
"if you're using windows 10, you can invert colors by opening magnifier (windows logo key + PLUS key) and then pressing (ctrl + alt + i)  :)",o
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",s
"The course that made me love programming 
This course is really well done and i recommend it to everyone who wants to be a programmer 
Well done",s
You are literally amazing Brother!! I have learnt HTMl from you..Now leaning C++.. May god bless you!..You care so much about Beginners... Such a great person!! U will be definitely in heaven,p
Thanks for the tutorial this was very helpful,p
"I learned how to use c++ in just watching just video two times.
lmfao it was hard getting a video that explained from step 1 but was worth it",p
"Needed to recap some basics quick, thanks!!",p
"1:32:32
My function does not return a value unless I add a cout<< block before the return statement.

Is this the same for everyone else?",q
"I was suffering to understand classes and objects. Now, I find this video and it really helps me a lot. Thank you man. Your teaching is so perfect!",p
Nice teaching techniques 🔥😘,p
may god bless u and your familly this really helped me  i still didnt finish the vid  but still understand most of the questions when i exercise on some sites it became so easy thanks,p
"why dont you do:

string name;
cout << ""enter your name: "", cin >> name;

so the code looks nicer and cleaner",q
I really needed this since im going to be in a course Computer engineering there are still stuff i needed to learn,o
"This man is a legend. This tutorial is the first tutorial that I can fully get invested into. Huge fan now :D
Thx Mike",p
"Warning bad pun






Your teaching is so good that I can C that I will get a ++ mark in my exam 😉",p
George was only 70 when he was taken from us. We'll never forget the first man to pass due to coding 😂,o
"haven't even finished the video yet and I can already say it was extremely helpful, where other videos made C++ seem a lot more intimidating this one made it look easy. He took his time explaining everything thoroughly and didn't rush through anything so, all I have left to say is thanks for the help.",p
"As good or better than a paid class, another great video from freeCodeCamp",p
"He is a man of culture... just saw him enter Lord of the Rings for Book class... <3
Awesome bootcamp by the way!",p
"Thank you so much. That is excellent. I will see other videos, too.",p
"I am having trouble with the guessing game portion. I am not able to have the while loop before the ""guess"" is initialized, though it is by ""int guess;"". I was able to make a do while loop work for the first portion but not the second when the guesslimit because I think the while loop has to be before the if statements. Can anyone advise on why the complier doesn't think the variable ""guess"" is ""uninitialized memory""?",q
"Learning this to be able to fully understand the functions of code. Sure, python is easier to pick up but I didn't feel like I was getting a fundamental understanding of code so here I am",o
"When you're using this video to get ready for research in a university, but the comment section is filled with people who think college is useless.
Great video regardless!",o
"A tip for an IDE/Text Editor is Visual Studio or Visual Studio Code, they're both pretty decent.",s
Great crash course. Thanks a lot,p
"When using a list, why would someone need to specify the number of items in the list? (list[7] = {...}, for example)  C++ doesn't limit the number of items that can be added to said list as far as I'm aware so it doesn't seem to do anything.",q
"Good work, thank you!",p
Thank you for the great intro!!,p
"keep it up dude!
you just made classes and objects so easy to understand.",p
"For some reason it keeps saying ""all items are up to date"" whenever I try and execute the build and run as shown in the beginning (around 14:52), is there a way I can fix this?",q
So nice! Thank you very much!,
oh look at that finally a guy who actually understands that people who are searching for programming tutorials don't already know everything about programming. Sucks that he doesn't properly put prefixes for variables so the rest of us can clearly see which are variables and which aren't.,p
for a dude whose failed programming 4 times this video makes it easier for me to learn,p
"Excellent Tutorial. If possible, please provide a tutorial on Fortran as well. We will be grateful to you.",p
"Just to point something out, if you use double instead of float even when you don't need double, you are being careless with memory management, which is crucial with c++.
To conclude, don't use double unless you need it. Use float instead, as it uses less memory.",s
"2 years ago i started my career with this video, thank you Mike!",p
Edited this so people don't know why this has so many likes ah ha,o
have to be honest; basic C++ is a lot easier than I though it would be,s
Teaching myself Unreal 5 as I work on my game. This will be a LIFESAVER! I’ll be watching more videos,o
In java if we use function with void we need to create object to get that class function but in c++ we get by just calling so can anybody tell difference,q
"I have a question.
Is it possible to input information into functions through cin?",q
One of the best tutorial channels in my opinion,p
"diary of learning of a 15yr old 

Day 1 - 14:22 GMT - I have completed 25:55 of this video 
might do a bit more in the evening

day2- 16:26 GMT - I have returned and am free fro school done up to 39:23",o
Wow this guy is actually pretty good. ❤️,
"Glad to say  I finished all of it. Thank you!  I am planning to work on projects to learn other applications, but what else is best to do?",q
just started my first semester I have no idea what you're talking about but i'll keep watching.,s
"This video literally is amazing; I learnt the basics ( I am still half way through the video ) I really wish to do something for this guy, I already liked the video and even subscribed to channel (I can't join, I am underage )",p
1:02:37 copied the code but for me it says error: redeclaration of 'int age',s
so this guy literally got more than 6hrs watch time just from me.  This is real content creation. Also very good video.,p
Gosh this Guy is good. He should be my college professor.  I learned more in a week with a couple of different languages than I did with my school. Wow,p
"thanks to this video i am going to get awesome marks in m exam tomorrow
Update i got B+",p
"Thanks a lot man 
I really needed this",p
"Thanks Mike, This video was very helpful.",p
I wonder if we can represent every programming concept in the recipe analogy.,q
"35:30  The amount of decimal places(to the right of the decimal point) a float/double can store precisely can also be directly affected by how many digits are to the left of the decimal point as well... That's why this is referred to as a loss of precision, because it's only precise to a certain extent. There are other datatypes that overcome this. This loss of precision is because of the amount of bytes allocated to these datatypes.",s
My teacher also had polymorphism and template functions and objects. Also this pointers. But I guess that's too advanced for a beginner class,s
"In less than a minute, the man making the subtitles for this video gave up.",o
So glad I learned java first since much of the syntax is similar,s
"Hey guys!
How about if we need to print out all the data in a class rather than just one data. For example, we need to print out, in Movie, all the data instead of just 
cout << avengers. title;
cout << avengers.director; ...

Is there a way to do this?
Asking for this, for example in an instance where we have a lot of data in a class and we need to print out all the data rather than just one or two or even ten.
Thanks!",q
Best examples in c++ I will appreciate my boy tq for your are valuable lesson.,p
"2:04:28 - do you know that you could put this code to make it easier:

#include <iostream>

using namespace std;

int
main ()
{
  string day[7] =
    { ""sunday"", ""monday"", ""tuesday"", ""wednesday"", ""thurdsday"", ""friday"",
    ""saturday""
  };
  cout << day[6];

Also, thanks for teaching me this programming language! You helped me a tone!",s
"The krazy thing is that when you start progressing you are running into less errors
compared to my last time trying something out myself:4 errors detected and could solve none",s
This guy was born to teach!,p
thank you very much for providing this tutorial!,p
"2:22:30 Tried my best :)
#include <iostream>
 
using namespace std;
 
int main()
{
    cout << ""Guess a number between 1-10!"" << endl;
    int guess;
    int number = 3;
    int tries = 1;
    do{
        cout << ""Guess: "";
        cin >> guess;
        tries++;
        if(guess == 3){
        cout << ""You Win!"";
        break;
        }else{
        cout << ""Try Again!"" << endl;
        }
    }while (guess!=3 && tries !=6);
    return 0;
}",s
C++ starts from 3:13 😆,s
Yo! It's my first time ever getting into programming do you guys recommend me to start from this video or should i get some basics first or is this video enough to begin with?,q
"hey mike i never really comment, but literally you are such a good teacher.....",p
"44:30 Note that you cannot put ""phrase[0] = 'B';"" into a cout sentence. It must be its own line",s
"i had to do couts for all of them at once or it would fail to compile. I had to cout all of them also i had to put endl at the end of all of them or it would fail. I thought endl just created a new line as apposed to /n
Also, when I did the boolean example it printed 0 for false and 1 for true. I was expecting it to be true or false.

Ok i found my issue. i wasnt removing the ending << so it expected something else. Once I removed the << at the end it compiled fine. It did still make me use all of the variables i assigned. i guess that is good so you dont forget sometihing.",s
Could anyone tell me the difference between this course and the just C one? is the content roughly the same except the added OOP concepts as the time length is roughly the same?,q
Excellent tutorial!,p
I’m learning JavaScript and about to join a bootcamp. I figured I’d skim this for fun to see how similar C++ is & OOOH Boyyy do I feel like I can do so much more now 😛😛 The basics make you so versatile 🙌🏼,s
"Dude, the code that can be seen in 46:37 doesn't show any output in my CodeBlocks 20.03. And in the topic ""Working With Numbers,"" what is the difference among fmax, max, fmin, and min?",q
damm this code editor background is brighter than my future,o
"This guy is a legend, I will talk about him to my kids",p
Great crash course. I was looking for a place to start on my programming journey. I learned so much! Thank you!,p
this video helped me pass a midterm exam :),p
"I haven't coded in c++ in about 5 years, I needed a quick refesher.",o
This made me wanna write in google doc. Amazing,p
Great tut bro. Much appreciated.,p
Very helpful for beginners !!!,s
"For those who are coming from different language, remember you can set playback speed to 2x.",s
"I want to point out at ""Building a guessing game"" that is considered a not intilizied variable in visual studio.",s
"1:04:00
just if you had a problem with the getline() commend you need to import string just write 
#include <string>",s
"Hi,  Is there any way  for keeping  the cursor in the same point  while  user is entering text? This  in the console.",q
"Started watching this video cause I ws far behind iwth coding in school, I'm 1 hour in, practiced what I learned fro now and I know as much in 1 hour as my classmated learned in 2 months",o
"I'm starting liking C++ because of this video, I only know pascal IDE and VB.  I watched this video with 0 knowledge on C++ and this video is easy to  understand and highly recommend this to all beginners that wants to learn this language.",s
"You definintely touched in a lot of good points, but there is a LOT of missing pieces of an awesome tutorial. First, missing the ""struct"" and how to properly handle exceptions. A good part of C++ programming is also interfacing with the OS and the multiple OSs that are out there. The total basics were not covered for example, some more data structures, date and time, basic input/output, namespaces, dynamic memory, etc. Furthermore if you actually say to someone that you are going to teach objects... well... it's only 20% accomplished. For example, multiple inheritance, polymorphism, abstraction, encapsulation, interfaces, etc. If you could please make an advanced class and cover more topics. On a very positive note, your voice is awesome for tutorials!",s
"a late tip but tip nonetheless:
don't just watch this video, but try everything he does too.
i can assure you that it will be easier to understand.",s
The only friend who helped me in learning technologies 😶💥,o
Mike is amazing but he doesn't go a lot in depth in the subject. But otherwise he is great,s
"This guy is GOD to me. He taught me  Python, MySQL and now C++.",p
That's Great! Thank you so much.,p
"2:54:24 - If someone is wondering why [ i ] is still 0, it's because the inner for loop executes first. So, the [ j ] loop will complete all of it's loop first, then the outer [ i ] loop will finish it's loop. 

You can think of it like algebra. Inner one always calculates first :)",s
Great overview of core C++. Thank you.,p
"Coding in C++ 
:D




Semicolon:
I'm about to end this man's whole career",o
Crazy how similar php is to c++ coming from someone who uses php alot,s
"finally completed the whole  video, will be applying for gardians of the galaxy this season!!",o
I was literally on the verge of changing my major until i came across this video,o
Is it just me or once you learn 1 language the rest is just very similar? I’m actually surprised how easy I find this course after practicing python for so long,o
Best coding tutorial I've seen so far,p
"Good to see a video on Youtube where I actually lean a lot of stuff
Now I understand C++ so much better!",p
"Thank you. 
I just started the video, I hope I will learn something",o
a really comprehensive tutorial,p
"Hey, i compiled this code in 3 diffent compilers and output was same 
#include<iostream>
using namespace std;
 
int main() {
	int array[3][2] = {
		{1,2},
		{3,4},
		{5,6}
	};
	for (int i = 0; i < 3; i++) {
		for (int j = 0; i < 2; i++) {
			cout << array[i][j];
		}
	}
 
}

please comment why i get 13 in output when your video about nasted loop was diffenet output, pleace comment",q
love your lessons,p
That is exactly what I am looking for!!!!!! thanks!,p
This just did more for me than several university lectures.,p
"thank you for posting this video, I love it and I appriciate it",p
"Amazing sir , 
Way of your teaching.",p
I took a high school course about coding it essentially had everything this guy talked about but it took a whole semester.This guy only took 4 hours.,p
This guy is awesome. So much better than my horrible textbook!,p
You are good teacher. Thank you,p
Hey Mike ! ur way of teaching is just marvellous ! Thank you.,p
Finished this vid in 3 days. Let's hope I can remember it all.,o
"My man has been sitting there, explaining for four hours straight.",p
"oh wow i learnt a lot form this, thank you",p
Awesome video...now i learn the basic of c++,p
"When I try to make a project, it just says ""a debugging check has failed"" with a ""stop"" or ""continue"" option with a ""don't show this dialog again"" tick box. The code looking line below the message says
../../src/common/file.cpp(361): assert "" ""(pBuf != __null) && IsOpened()"""" failed in Write().",q
"You should NOT use codeblocks, it has an edited compiler. You should use Visual Studio Code. It uses the original g++ compiler on you computer.",s
this was really helpful,p
"Dude the way you explain is 💯👌🏼
faaaar better than my Indian teachers who teach as if they are teaching to their colleagues and have a pizza delivery job in the next 5 mins 🤦🏼‍♂️",p
This tutorial is so good. It helps me alot..,p
"This saves me from having to go to Uni and learn this, I'm happy not spending any money on something that I can learn in the comfort of my own room :)",p
Can anyone recommend one of the best books for beginner in learning C++? Thanks a lot!,q
"My first programming language to learn will be C++ for the fall semester. However, I have no background knowledge about programming: I'm not even a fast typer. How can I learn and be effective in learning? 

Thank you :)",q
"I will edit this comment while I get further/finish the video
2 Hours in, skipped some chapters since I've already coded in lua for 3 years and I know the basics of code. I've learnt a lot and I feel like I can really build a program in C++

3 Hours in, learned how to do loops in C++ and made my own number guessing game without using the tutorial.

After I finished, I can say, some stuff is basically useless but cool. Definitely recommend watching the entire tutorial.",s
"The video is highly informative, the video contains 24 important concepts in C++. The concepts are beautifully presented in a lucid way. i recommend this video for those who  are completely new to C++.",s
i tried to make the calculator before he showed us how and i think i did pretty good,o
Starting to learn this today,o
"Looks like I underestimated the complexity of C++, I thought it would be a bit closer to C# but it seems that I was too naive.",o
Wonderfull....Nice explanation...thank u very much..,p
Thank You So Much for the tutorial!,p
I like how you used the lotto numbers from LOST while explaining arrays,p
"Him: Get codeblock
Me: Nah, I'd much rather spend an hour getting c++ setup on vs code",o
i wish professors at uni were like him..,o
"At  2:15:32... I had an interesting observation... Usually I try to code myself before seeing what he is gonna type... And I directly typed cout<< index++<<endl;
and I saw that he used another line of code for typing index++... But further into the video he had done that for the purpose of teaching and showing the effect of absence of an increment operator... Initially i thought he was inefficient but now I understood why he did that... Still coding is awesome....",p
Completed Finally with self hands-on for each tutorial :),o
Great  tutorial,p
i was alwas confused with json but this made me learn json as well thx bro :),p
"in 1:54:35 

couldnt we just do

if (num1 >= num2 && num1 >= num3){
result = num1;
} else if(num2 >= num3){
result = num2;
} else {
result = num3
}

return result

because in the first if statement we already crossed out that num1 is less than num2 or num3. if i'm wrong please correct me",q
"I Love how he explain whole number and decimal numbers lol

I think I need to relearn my maths while learning c++😭😭",p
Great tutorial!,p
Thankyou so much brother ......none of the part of this vedio was boring ...You taught ne everything,p
At 2:53:21 can we put cout<<numbergrid [i][j] outside for loop?,q
My English language is poor but I still understand your lesson your the best 👌,p
This is essentially a good c++ tutorial,p
Just learned so much now im ahead of my classmates thanks dude,p
"2:22:27 I already did a do-while loop before you even told me to just because that's the only way I could get the program to print anything into the console. Maybe because I was using Visual Studio Idk if that would make a difference, I just like Visual Studio more and knew how to set up a console app in C++ with it.",o
At 2:29:09 does the while loop keeps running until condition achieved and then the compilation of if (outofGuesses) take place ??,q
"I'll be honest, the number of times I have used an infinite loop with an ""if {break;}"" is mind boggling",o
"Very well done, man",p
Very very useful... . Your effort was worth it,p
"me trying to learn how to code
YouTube recommending me: not everyone should code",o
"Mike: ""Hey, welcome to giraffe academy""
Captions: ""hey welcome to draft academy""",o
Really good explanation of C++. Makes it easy for first-time coders.,p
"at 2:22:27 building a guessing game. you can use an if statement to tell you if the guesses are ""too high"" or ""too low""",s
"hey , should i download the same compiler or an updated version ?",q
"SUPERB VIDEO MATE GREAT LEARNING FOR BEGINNERS
THANKS",p
may god bless u abundantly .. u r helping lots of ppl who have exam the next day,p
"Awesome, thanks!",p
"isMale = true;
isTall = false;
--> You are not a male
F for all the short men",o
Starting this now as my first time learning a coding language! Hope it works,o
"the ""building a better calculator"" at 2:00:00. I am having the oddest issue despite the program being set up line for line. It runs without issue, however when I plug in 2 numbers and the operator, it shows me a blank result. (i.e 5+5= blank) Has anyone else ran into this? If so, how did you correct it? It's probably something silly I may have missed on my part but any help would be appreciated.

Edit: XD ok and this is why you should always be paying full attention folks. Forgot the 
cout << result; at the bottom. Such a simple mistake lol",s
This guy taught me better then my instructor with a PhD,p
"I see a lot of things online about notepad++, but how would you build and run a program just from regular notepad?",q
"One word ""Amazing""!!!!",p
"Awesome sir, You are great programmer and also great teacher too..",p
So this is basically C and someone had the brilliant idea of adding functions to structures.,q
No words can express how thankful I am,p
"I keep getting the message ""fatal error: No such file or directory"" in my logs, what do I do?",q
"If only there was a video about this on 2012, I wouldn't have dropped out of my course. I took computer science course without knowing about programming and stuff and our professors taught us with the assumption that everyone knows about a thing or two. I'm always at lost during hands on not knowing how strings, integers etc works and we don't have books.",o
"18:20 if I draw the traingle like with \, I don't know why it doesn't work. It says theres a missing terminating character. Can someone help?",q
You guys are really awesome 👍,p
I’m in college and my teacher explaining this is not as clear. Thank you so much,p
"Yo, I was watching this and I improved the calculator by myself ( at 1:05:32 )

Instead of it just printing out the answer, I made it print out the equation. Not that much, but, I'm new. :D",o
Love this video finally satisfied 😌,p
"Before I start watching it, I really appreciate your hard work and huge efforts, I would like to ask…Is this video enough as a basic lesson for using C++ let’s say, like an amateur? I really appreciate your responses
(I know nothing about programming)",q
Wow I can understand it easy,p
"That's great for starting, but you didn't mention anything that makes C++ C++. I might as well have learned Java or C# from this tutorial. :P",o
Watched in 2x and finished in 2 hours :),o
"*Everyone in comments saying that this 4 hour video taught them all the things that they've learned during 1-2 years*
*Me who learned from this video more than from 12 years of school*",o
"this guy taught me pyhon, now he’s also teaching me cpp",o
"My gratitude to you Mike for all you have gone through providing the courses on YouTube in easy ways. I really appreciate you!
If I could've taken my four year Computer science courses by your kind of Lecturers,I would have been employed in a well know International company and would have been opened my own company. Thank you for your support!🙏",o
"i have finally finished the tutorial
YESSSSSSSS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",p
"After learning the whole vid, if i want to go futher into c++, should i watch the 10 hours full course or buy some books?",q
"thank you so much, it helped me a lot and also i love you and your channel so much.",p
This tutorial's proficiency is immesuarable and my day is perfect,p
"I know I am a few years late. But I had some questions.

1. Does all the Code have to be written in Int Main? Or can you separate variables and miscellaneous code?

2. Do you always have to include the Iostream code line and the Using Namespace?",q
"2:26:00 uhmm this code is hella long. u can do it sorter with a || in the while loop. and if they break out look at if its correct or not
 
 
 
 
 
This is what i think is better.
BTW Thanks for this amazing tutorial on c++ it really helped me with starting

int main(){
 
 
	int secretNum = 7;
	int guess;
	int Tries = 0;
 
	do {
		cout << ""Enter guess: "";
		cin >> guess;
		Triess++;
 
	}while(Tries != 10 || guess != secretNum);
 
	if (guess == secretNum){
		cout << ""You win!"";
	} else{
		cout << ""You lose!"";
	}
 
}",s
Very helpful!!!,p
"My professor didn’t even show us how to download or use set up code blocks, this video is a god send, thank you much",p
"Help me with my survey.❤
What do you guys personally want the features of your device but it is not available yet? Or what you want to bring change in your device?

I hope this is understandable🙏",o
Thank you very much! Great tutorial.,p
This is a very good video. What should the people who study this video study next?,q
"Video:
75% C++
25% ""Awesome""",s
"This video is awesome and I really like the instructor, but it's a little too fast IMO. It is great, especially for beginners.",s
I recently started Liking Mike's videos So much! He teaches cool!,p
Best. That helped me from zero to better understand c++,p
Absolutly amazing!!!!!,p
"Long story short I need to do a whole semester of cs120 in less than 2 weeks. wish me luck.
Ill come back and let you guys know how it ends up going.",o
"mom: hey honey, did you take the trash?
son: i will, just after one more video...
mom: ok

the video:",o
thank you for all your teachings finally after 6 month i was finally able to finish this video,p
I finally finished the whole 4 hours,p
"After writing ""giraffe academy"" \n ...again we have to start with cout<< "" ""endl; instead of writing cout again and agin why can't we continue using ""giraffe academy"" \n, ""hello ""\n, ""hello world""\n.?",q
Thanks so much this Tutorial🙏🙏🙏,p
When entering the initial commands in the terminal it simply says that command not found,q
"One of the best learning videos youTube has to offer ☝

Thank you for the knowledge",p
Thank you so much dear teacher,p
Doing some prep before going to compSci at uni next year.... providing this will even be useful information to have XD,o
"thank u so much dude, you helped me a lot",p
The Fact That he didnt get one single error in these 4 hrs is just UNREAL,s
you're awesome man.. god bless you,p
Knowing Redstone Logic somehow helped me with C++,s
"I personally felt offended when the code said that if I'm not tall, then I'm not a male. 
Jokes aside, such a great Tutorial!",s
"Watched the complete tutorial and here’s my review: Coming from Golang, I found this tutorial extremely helpful and a good source to gain familiarity with C++ syntax. Absolute beginners might struggle to understand some of the concepts, particularly after pointers and might wanna refer some other resources too. If you’ve been working with any other programming language, watch this video and you’ll have everything you need to start writing C++ code. Needless to say, this guy is the real OG. Cheers!
Update: FYI, it misses out some extremely important concepts like templates, referencing , STL etc. Make sure to refer to some other tutorials for more.",s
this man is absolute god in coding he knows almost every known language to man,o
well i'm 13 and this is probably where my future will start so thank you.,p
Finally finished .....though it took me 2 years.,o
"Couldn't get the IDE you recommended for Mac (too old a version), is CLion okay to use for all of this?",q
the best C++ tutorial in youtube,p
"sitting around my house, don't really wanna play a game, not feeling like reading, am really tired but don't wanna sleep.
you know what's a good idea listless brain? Let's learn to code!

surprisingly, I'm doing good so far. tis a good video.",o
Anyone have an advanced C++ tutorial that you could complete after this?,q
what do you recommend a hands-on approach i.e once you do something i do or i wait till you finish up evrything before trying,s
"Thanks, you are the best!",p
"You are one awesome teacher!  well done.  That was a great video.  However, One small feedback that i found was that you seem to keep repeating yourself many times. Thats fine at the start but if your listening to something that goes on for a few hours than it becomes annoying.  But all in all that was an awesome video. Great Job.",s
"me:

std::cout<<""Hello Earth"";

compiler:

compiler.cpp:11:7: error: expected 'world' before 'earth'
compiler.cpp:27:1: error: 'earth' was not declared in this scope; did you mean 'world'?
cout<<""Hello Earth"";
                          ^~~~",o
"Exit the era of colleges
Enter the era of self teaching through videos",s
if ur going to follow this tutorial make sure to put on some lo-fi beats in the background it makes the video so much better,s
ur a very good teacher I learnt c# from u now I am learning C++ from u,p
great work. i can now understand this things better,p
"Probably a very dumb question to ask but I'm learning here....when I start typing in a bracket, no matter the type, it automatically closes it for me, which is neat and all but then when I want to end the line. I have to click out of bracket and type my semicolon. Any tips for that?",q
I have an exam for c++ on monday and i have examples of exercises similar to the ones that are going to be on the exam. I am kinda struggling with them so if there is anyone here that knows these stuff and would like to help please i really need it :),q
"Taking this class next semester so I’m just tryna get a head start so I’m not hella lost 
Thank youuuu",o
At 1:48:33 why did we write a variable named 'result' instead of having 'result' as a paramater into a function? Can somepne please explain,q
He is literally the best teacher ever🤯,p
"That's great, Let's learn to code!",o
At this pace I will be the one teaching our professors programming at uni,o
"After learning some language, I was shocked when I first see C++'s hello world, the legend is true, really hard...",s
"If your really new to this then I'd suggest pull out a word document for this. I done it and it helped me a ton, Thanks @Discord King",s
Thank you! Great Video.,p
"1:00 hour into the tutorial.....i hope i dont give up in between (btw this tutorial is really gooooood)
Edit: 2:00 hours into the damn course....woohoo....i guess i'm gonna go for the next round",o
it gets easier and easier more the languages you learn,s
"I wanna be a game developer, this is my first step. 🤓",o
"Obrigado!
means: ""Thank you!"" in Brazillian Portuguese",p
"pls b my teacher, you actually helped me understand C++ way better than my college courses",p
thanks for your tutorial!,p
When you're still in high school and get college-level education for the price of an unlimited broadband connection,o
"Dude, you are awesome 👌",p
"For some reason, on the better calculator bit, visual studio tells me that I cannot use an uninitialized value of ""result"" and ""num2"". Even though I basically copy pasted the tutorial.",q
So helpful !,p
"Can i learn this? 
I mean i am a beginner and this is my first language ( i have already watched 1 hour of this video right now i am at taking user input and i am not finding any difficulty )
Should i continue because people were saying that i would not recommend c++ to beginners",q
"i love when he says ""this is kinda cool""",o
When everyone is in quarantine and starts to learn C++ 👍🏻👌🏻,o
IM SO GLAD I FOUND THIS  VIDEO,p
"Your tutorials are great, Mike. You also point out the different ways we could write each lessons not just on one way or the other. 

But I do hope that you could make an intermediate to advanced C++ tutorial because these are very very basic. :c",s
excellent tutorials thank you,p
"you should create a Course on how to get to the next step.
yt is full of videos explaining for loops.

but when  I look at code that is used in the industrie ... it is like from another language :D",s
i love your videos great content,p
This guy is totally amazing,p
I'm starting my journey as a coder so let's see if I can become one,o
this was literally exactly the whole content of my first semester,o
"o my god i have no word to say thank to you
i love so much yu
awesome work
i appreciate you",p
"Kudos to that guy for doing the ASL version of ""3"" with his hands rather than the typical American hearing people fashion.",o
Thanks man! now gotta figure out where to go from here :D,o
Code blocks code is a lifetime’s difference than visual studio code…especially syntax wise,s
I am glad. Thank you sir this tutorial,p
"The content was otherwise perfect, and I learned a lot, but I noticed some important information missing in the last part (inheritance)
I just think that it is unreal that the Italian Chef didn't make pizza. 
Yeah I get the chicken parma and all but no pizza. The immersion just vanished at that point.",s
Completed the course and I can say that it completely made sense u don't need to ask it again,p
"Started learning c languages again because of Terry A Davis.
He may rest in peace my brother.",o
i auctually came here after learning C# and still pretty easy C++ is,o
order of teaching topics is very excellent,p
i recommend watching the video in 1.25x speed,s
"Me: Man this is hard, and its just beginners?


Mike: Now lets make it a little bit more complex!",o
"Finally I did it 🌷
Mike is a legand.",p
"Another way of getting the day 2:10:00 is just doing an array of string like this: 

int main()
{
    string Day[7]{ ""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday "",""Sunday "" };
    cout << Day[6];
}",s
Thx man im so new in c++ im basiclly coding lua before and it was so easy and i feel like i know everything so I wanted to test something new,p
"OMG, EXACTLY WHAT I NEEDED -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- i got resources from 💜 VUGY.BAR/ZGXZQK 💜",s
Is there anyway i can get a line of words from user without using getline () function ?,q
"in the getter setter example. Why do I have to put rating into the private part of the class? I could leave it in public and use that if-function as well, or not?",q
Does this video go over linear and binary searches?,q
This the best part of YT and what people should spend there time listening to. I can only imagine being in HS having this information shared for fee is such a blessing for all to consume. Chapeau to you sire.,s
Awesome! ❤,p
it was a great useful crash course,p
Me watching this video at 3.5 speed to get all of the information in my head as fast as possible:🤨,o
"Remember everyone, education system regardless of what country you're from is nothing but an outdated joke. You shouldnt go to college becuase you want to learn, you should go to make friends and socialize. The best way to learn something is to learn it on your own, so never expect to actually learn anything in school becuase you wont, you will just be left dissapointed.",s
"Good job, thx!",p
"its the longest video on YouTube that I watched in my entire life without skipping. 
Truly thank you.",p
i started learning it for school and now i find myslef rlly interested in it,p
"Well ,we can learn stl and multimap in 4 hours 😘😘",s
good tutorial. lots of tips and tools,p
Watching at 2x speed to directly download the information to my brain,o
Have nothing to do all day but still watched this video in 2x speed 😂😂😂,o
30:00 Someone like this for me.,s
Dude... my school has been more than just awful at teaching C++. This tutorial is a gold mine of information and amazing examples. Thank you.,p
Does he have advanced courses? He is seriously a great guy,q
